Field	Type	Null	Key	Default	Extra
id	int	NO	PRI	NULL	auto_increment
product_id	int	NO	MUL	NULL	
sku	varchar(100)	NO	UNI	NULL	
price	decimal(10,2)	NO		NULL	
discount_price	decimal(10,2)	YES		NULL	
discount_start	datetime	YES	MUL	NULL	
discount_end	datetime	YES		NULL	
image	varchar(512)	YES		NULL	
attributes_json	json	NO		NULL	
attributes_hash	varchar(64)	NO		NULL	
created_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
updated_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
